NPRI ID,Facility name,Company name,Address,City,Province,PostalCode,Latitude,Longitude,Emissions,Units,Facility details,Facility information,Report year
31346,Trilogy 102 Hz Kaybobs 16-17-61-19w5,Paramount Resources Ltd.,,N/A,Alberta,,54.259548,-116.810578,0.38,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331346&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31346,2022
31347,Zama Compressor Station 03-10-118-08w6,Paramount Resources Ltd.,,,Alberta,,59.217698,-119.263258,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331347&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2019/31347,2022
31355,Elmworth Comp Stn 11-15,Cenovus Energy Inc.,,N/A,Alberta,,55.063396,-119.592636,21.16,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331355&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31355,2022
31356,Martenh Bitumen Swb 10-10-075-26w4,Cenovus Energy Inc.,,,Alberta,,55.484684,-113.948716,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331356&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2019/31356,2022
31357,Red Rock Compressor Station 09-13-064-08w6,Cenovus Energy Inc.,,N/A,Alberta,,54.539861,-119.060847,41.37,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331357&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31357,2022
31358,Sinclair Comp Stn 05-13,Cenovus Energy Inc.,,,Alberta,,55.234228,-119.868438,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331358&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2019/31358,2022
31359,Brewster Gas Battery 13-29-043-12w5,Baytex Energy Ltd.,,,Alberta,,52.739738,-115.714975,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331359&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2019/31359,2022
31360,Dodsland Oil Mwb 05-30-029-22w3,Baytex Energy Ltd,,N/A,Saskatchewan,,51.509392,-109.094796,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331360&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/31360,2022
31361,Ferrier Gas Battery 10-19-044-10w5,Baytex Energy Ltd,,N/A,Alberta,,52.808796,-115.437131,186.79,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331361&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31361,2022
31362,Ferrier Gas Battery 12-33-041-10w5,Baytex Energy Ltd,,N/A,Alberta,,52.575832,-115.389509,83.02,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331362&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31362,2022
31363,Gleneath Oil Swb 13-13-031-22w3,Baytex Energy Ltd,,,Saskatchewan,,51.661435,-109.001647,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331363&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2020/31363,2022
31364,Skbt0031353,Baytex Energy Ltd,,N/A,Saskatchewan,,51.654203,-109.001647,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331364&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31364,2022
